%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
1	NO_ID	340.2340603	3.50238214	0.300582298	1.090325362	0.716628975	0.010698152	9.25416937	0.023219415	22354858.97	0.002422669	1192532494	4852533409	9299735859	151414045.5	0.346358354	285.8643
2	NO_ID	372.9510136	3.878287741	0.298631362	1.007228987	0.635170104	0.010223203	6.794604481	0.022195544	8603341.957	0.001658869	1038720657	4544100201	8872642236	144275085.3	0.36750096	328.3928
3	NO_ID	602.6811327	1.056097623	0.327992884	1.051506992	0.654549623	0.011569629	5.052915305	0.019606202	6282440.263	0.002112627	1195286626	5145416752	9116701420	163394529.5	0.358107412	545.7453
4	NO_ID	447.4802019	2.44153283	0.31855766	1.123782457	0.758363397	0.010162772	7.416571867	0.023568348	20093330.26	0.00422704	1191039573	5264218201	8347339314	154481850.2	0.33033273	392.157
5	NO_ID	517.3274097	3.476283045	0.306344521	1.011812456	0.7388486	0.010810638	8.236477627	0.021785711	8724670.881	0.004154188	1203169706	5013589944	8641572895	167108959.1	0.373158601	464.865
6	NO_ID	441.4962936	1.227952999	0.271597759	1.102429868	0.72098341	0.011616588	8.676936819	0.019421659	6577556.525	0.004097266	1078140748	4760240160	8505323529	149496394.7	0.367022515	390.1273
7	NO_ID	688.5804628	3.035877714	0.285524449	0.975774525	0.75663806	0.011422466	6.537737241	0.023245983	12496762.26	0.004536126	1143351529	4753988150	8359887359	157462974.4	0.343386448	627.3053
8	NO_ID	524.809671	0.778743665	0.28779985	1.129835238	0.668747481	0.011769217	7.075033364	0.023312	13937644.42	0.004473293	1053239648	5139838622	7673498663	173609362.1	0.385929497	468.7005
9	NO_ID	355.6523614	5.644835277	0.290309309	1.04732701	0.670752445	0.011198927	5.083669947	0.023557099	11523779.58	0.005626715	1185294237	5005863450	7974834587	165206664.6	0.328988057	308.905
10	NO_ID	477.0065373	0.095188647	0.310157312	0.989165653	0.642452923	0.011592064	9.832530908	0.019552361	8362823.047	0.002798093	1112847377	4831664396	8186578834	153571013.1	0.33525294	424.3893
11	NO_ID	314.5944136	4.765846915	0.311057894	0.965682676	0.72575171	0.010330483	5.63858073	0.02159049	17407976.96	0.004064549	1175862557	4787626551	8944981574	168825128.4	0.395427609	267.0511
12	NO_ID	663.6332719	4.708383429	0.321113516	1.161268482	0.733821902	0.010845799	9.753021513	0.022459688	17846162.6	0.004998819	1142463193	5385736421	9274124075	151897300.3	0.374227709	601.4831
13	NO_ID	546.4110538	3.720708187	0.294600697	1.170988459	0.683338954	0.010667303	9.268161051	0.020862841	15047775.55	0.002386499	1123137819	5157815469	8926240131	152549120.2	0.380893747	490.9567
14	NO_ID	613.5545301	5.219987139	0.278606827	1.075816114	0.646899227	0.009891654	7.203730696	0.022534477	18254936.64	0.004073319	1183216778	5479043545	9133153847	146731747.8	0.330126977	556.0154
15	NO_ID	749.5546018	1.398247281	0.301332589	1.026986551	0.722138008	0.011211685	6.412255993	0.023174491	15680358.82	0.002252123	1073479346	4843748138	7867938928	146409898.8	0.348268424	685.6382
16	NO_ID	557.0532735	0.785843903	0.312854303	1.079264813	0.764694491	0.010358144	6.69227296	0.021661278	12328379.9	0.004334344	1246424623	4738345748	8382384839	155683761.1	0.380178663	498.3087
17	NO_ID	323.2185462	3.679385337	0.276961153	0.991768346	0.694719754	0.011057707	8.727051629	0.021461685	8951841.925	0.001374165	1229071851	4561126978	8477303721	163722727.7	0.361906144	277.334
18	NO_ID	706.2202079	3.120737347	0.289360695	1.103379878	0.650380298	0.011795305	5.750209435	0.02032435	10136005.59	0.002607365	1093511755	5150013214	9108004863	150086270.5	0.374627729	645.8684
19	NO_ID	392.1738516	5.762656156	0.272315689	0.993383588	0.641055346	0.009809018	9.031426365	0.01956677	23340622.15	0.003571088	1228070346	4785085182	7689851277	166068231	0.371806857	344.0393
